Stock-ID,Timestamp,Stock Price
TSLA,09-10-2023,203.51
TSLA,10-10-2023,202.9
TSLA,11-10-2023,205.74
TSLA,12-10-2023,204.09
TSLA,13-10-2023,203.89
TSLA,14-10-2023,204.7
TSLA,15-10-2023,205.32
TSLA,16-10-2023,205.32
TSLA,17-10-2023,203.67
TSLA,18-10-2023,204.08
TSLA,19-10-2023,202.25
TSLA,20-10-2023,201.84
TSLA,21-10-2023,200.02
TSLA,22-10-2023,200.02
TSLA,23-10-2023,201.62
TSLA,24-10-2023,202.63
TSLA,25-10-2023,201.21
TSLA,26-10-2023,204.03
TSLA,27-10-2023,204.24
TSLA,28-10-2023,204.44
TSLA,29-10-2023,206.28
TSLA,30-10-2023,207.93
TSLA,31-10-2023,206.06
TSLA,01-11-2023,204.62
TSLA,02-11-2023,203.18
TSLA,03-11-2023,204.2
TSLA,04-11-2023,202.36
TSLA,05-11-2023,204.99
TSLA,06-11-2023,204.79
TSLA,07-11-2023,207.65
